CensusId,State,County,TotalPop,Total Pop,Men,Women,White,Black,Native,Hispanic,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,Child Poverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,Other Transp,WorkAtHome,Commute,Employed,PrivateWork,Public Work,SelfEmployed,FamilyWork,Unemployment
27133,Minnesota,Rock,9563,9563,4651,4912,94.8,0.5,0.6,2.4,0.9,0,7006,51496,3692,26065,1276,11.4,14.6,31.5,17.6,23.2,12.4,15.4,77.3,9.2,0.8,4.1,1.1,7.5,18.5,4716,76.9,11.3,11.5,0.3,3.7
27151,Minnesota,Swift,9525,9525,4803,4722,93.4,1.5,0.3,4.1,0.2,0,7373,49035,3973,27202,1006,12.5,20.8,32.8,16.3,19.1,11.3,20.4,75.6,9.1,0.6,6.3,1.8,6.7,16,4865,72.5,14.8,12.4,0.3,3.9
27089,Minnesota,Marshall,9453,9453,4793,4660,94,0.3,0.4,4,0.2,0,7177,54092,2156,27863,1000,7.9,8.8,33.3,14,20.7,13.6,18.4,76.6,11.1,0.5,3,1.5,7.3,23.3,4726,76.9,12.8,10,0.3,4.7
27117,Minnesota,Pipestone,9354,9354,4550,4804,91.1,1.3,1.3,4.7,0.4,0.2,6838,46990,2056,26842,2120,12.9,17.5,28.7,17.3,21.7,16.2,16.1,74.5,11.4,0.7,4.5,1.1,7.8,18.9,4572,77.3,10.5,12,0.2,4.2
27029,Minnesota,Clearwater,8752,8752,4429,4323,85.8,0.3,8.5,1.6,0.4,0.1,6546,43421,1966,23391,979,16.9,25.3,26.9,19.3,17.1,19.6,17.2,76.7,12.5,0.6,3.2,1.1,5.8,25.3,3634,70.3,20.1,9.2,0.4,7.4
27101,Minnesota,Murray,8529,8529,4227,4302,94.3,0.4,0.3,3.2,0.4,0.4,6557,51983,2190,28976,990,9.2,12.5,36.9,15.1,18.5,13.3,16.2,75.7,9.2,0.6,4.8,1.2,8.4,19.8,4244,70.7,15.2,13.6,0.4,4.5
27073,Minnesota,Lac qui Parle,7023,7023,3526,3497,96,0.6,0.4,1.7,0.6,0,5522,49903,2122,29541,1423,8.2,8.7,36.3,16.6,19.6,12.5,14.9,74.9,8.3,0.2,5.1,1,10.5,16.6,3506,70.4,12.7,16.5,0.3,3.7
27107,Minnesota,Norman,6692,6692,3353,3339,90.4,0.5,1.8,4.6,0.4,0.2,5113,50377,2577,25314,835,12.9,21.8,33.5,17.5,20.4,14.6,14,79.1,6.5,0.3,4.2,1.5,8.4,21.7,3105,69.2,15.9,14.5,0.4,5.1
27167,Minnesota,Wilkin,6526,6526,3316,3210,94.7,0.3,1.1,2.3,0.2,0,4973,51476,3286,26862,1242,9.9,11.2,32.6,15.1,21.9,14.6,15.9,77.8,10.1,0.2,3.6,0.7,7.6,19.1,3312,71.6,15.9,11.7,0.8,2
27051,Minnesota,Grant,5961,5961,2985,2976,96.2,0,0.6,1.8,0.3,0,4650,50174,3814,27952,1010,9.1,12.4,34.7,15.1,22.7,14.4,13.1,79,6.5,0.6,6.6,1.2,6.1,22.5,2943,71.4,14.3,13.9,0.4,3.6
27081,Minnesota,Lincoln,5808,5808,2918,2890,96.9,0.4,0.4,1.7,0.2,0,4500,49575,3416,26910,1232,9.3,7.2,32.8,18.9,18,16.2,14.1,75.3,8.2,0.1,5.7,1,9.7,20.3,2974,72.7,11.6,15.3,0.4,2.8
27087,Minnesota,Mahnomen,5496,5496,2772,2724,47.8,0.5,39.2,2.9,0.4,0.4,3796,41118,1682,19743,688,24.9,37.8,26.8,31.5,18.7,13.1,9.9,75.4,12.5,2,4.9,0.7,4.5,20.7,2222,59.2,32.4,8.2,0.2,9.2
27031,Minnesota,Cook,5194,5194,2602,2592,86.5,0.9,7.4,1.7,0.9,0.3,4194,52299,3546,33056,2767,11.4,22.1,33.9,28.2,18.8,12.4,6.7,69.8,10.4,0.4,10.1,0.8,8.5,16.9,2788,61.9,26.4,11,0.6,4
27011,Minnesota,Big Stone,5134,5134,2496,2638,97.1,0.2,0.2,1.1,0.1,0,4047,47794,3309,27426,1569,14.4,23.5,34.3,17,20.3,15.4,12.9,75.7,9.8,0.5,5.1,0.8,8.2,17.1,2406,67.9,18.3,13.5,0.2,3.3
27069,Minnesota,Kittson,4480,4480,2251,2229,96.4,0.6,0.2,1.9,0.2,0,3485,52326,4175,29279,1387,10.9,17.1,33.9,14.3,17.5,11.5,22.8,69.2,10.5,1.8,8.6,1,8.9,20.3,2182,69.2,19,11.6,0.2,2.8
27125,Minnesota,Red Lake,4061,4061,2067,1994,93.1,0.6,1.5,3,0.2,0,3041,50332,2974,25183,1261,10.7,11.9,29,13.6,26.2,13.9,17.4,78.3,10.9,0.2,4,0.5,6,22.1,2079,77.2,13.5,9,0.3,3.5
27077,Minnesota,Lake of the Woods,3949,3949,2032,1917,94.3,0.6,0.5,1,0.9,0,3163,42263,4092,22543,1721,9.3,9.9,27.7,16.2,18.6,12.2,25.4,71,15.3,0.1,6.4,0,7.3,19.3,1975,78.3,8.8,12.9,0,4.8
27155,Minnesota,Traverse,3429,3429,1698,1731,91.5,0.5,3.4,2,0,0,2700,49186,2915,29120,1332,10.2,14.3,42,18.4,18.9,11.6,9.1,75.8,8.3,0.1,4.3,1.2,10.2,16,1623,66.3,15.5,18,0.2,2.9
